Transaction Date,Posting Date,Card No.,Description,Category,Debit,Credit
01/03/2024,01/03/2024,****1234,AMAZON.COM*123456789,Online Shopping,156.78,
01/05/2024,01/05/2024,****1234,STARBUCKS #12345,Restaurants,12.45,
01/07/2024,01/07/2024,****1234,SHELL OIL 87654321,Gas Stations,65.00,
01/08/2024,01/08/2024,****1234,NETFLIX.COM,Entertainment,15.99,
01/10/2024,01/10/2024,****1234,WALMART SUPERCENTER,Department Stores,89.34,
01/12/2024,01/12/2024,****1234,MCDONALD'S #98765,Restaurants,18.67,
01/15/2024,01/15/2024,****1234,TARGET T-1234,Department Stores,234.56,
01/18/2024,01/18/2024,****1234,EXXONMOBIL 12345,Gas Stations,72.34,
01/20/2024,01/20/2024,****1234,CHIPOTLE 5678,Restaurants,23.45,
01/22/2024,01/22/2024,****1234,SPOTIFY PREMIUM,Entertainment,9.99,
01/25/2024,01/25/2024,****1234,CVS PHARMACY #123,Pharmacies,45.67,
01/28/2024,01/28/2024,****1234,UBER TRIP,Transportation,28.90,
01/30/2024,01/30/2024,****1234,PAYMENT THANK YOU,,,-500.00
02/02/2024,02/02/2024,****1234,AMAZON.COM*987654321,Online Shopping,78.90,
02/05/2024,02/05/2024,****1234,DUNKIN #54321,Restaurants,8.76,
02/07/2024,02/07/2024,****1234,BP#123456789,Gas Stations,68.45,
02/08/2024,02/08/2024,****1234,NETFLIX.COM,Entertainment,15.99,
02/10/2024,02/10/2024,****1234,COSTCO WHSE #123,Warehouse Clubs,145.67,
02/12/2024,02/12/2024,****1234,TACO BELL #9876,Restaurants,12.34,
02/15/2024,02/15/2024,****1234,BEST BUY #567890,Electronics,456.78,
02/18/2024,02/18/2024,****1234,SHELL OIL 12345678,Gas Stations,59.87,
02/20/2024,02/20/2024,****1234,OLIVE GARDEN #123,Restaurants,67.89,
02/22/2024,02/22/2024,****1234,SPOTIFY PREMIUM,Entertainment,9.99,
02/25/2024,02/25/2024,****1234,WALGREENS #4567,Pharmacies,23.45,
02/28/2024,02/28/2024,****1234,LYFT RIDE,Transportation,15.67,
02/29/2024,02/29/2024,****1234,PAYMENT THANK YOU,,,-400.00